Job,Customer,Description,Status,Order_Date,Type,Est_Total_Hrs,Act_Total_Hrs,Total_Price
25-205,VERTCORP,BUFFER TANK 82 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-206,VERTCORP,BUFFER TANK 83 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-207,VERTCORP,BUFFER TANK 84 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-208,VERTCORP,BUFFER TANK 85 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-209,VERTCORP,BUFFER TANK 86 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-210,VERTCORP,BUFFER TANK 87 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-211,VERTCORP,BUFFER TANK 88 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-212,VERTCORP,BUFFER TANK 89 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-213,VERTCORP,BUFFER TANK 90 OF 224,Active,00:00.0,Regular,74,1.5,20500
25-182,VERTCORP,BUFFER TANK 59 OF 224,Active,00:00.0,Regular,74,3.5,20500
25-183,VERTCORP,BUFFER TANK 60 OF 224,Active,00:00.0,Regular,74,2.5,20500
25-123,KIMBCLAR,BACKWATER TANK,Active,00:00.0,Regular,0,0,108000
25-274,VERTCORP,BUFFER TANK 151 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-275,VERTCORP,BUFFER TANK 152 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-276,VERTCORP,BUFFER TANK 153 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-277,VERTCORP,BUFFER TANK 154 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-278,VERTCORP,BUFFER TANK 155 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-279,VERTCORP,BUFFER TANK 156 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-280,VERTCORP,BUFFER TANK 157 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-281,VERTCORP,BUFFER TANK 158 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-282,VERTCORP,BUFFER TANK 159 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-283,VERTCORP,BUFFER TANK 160 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-273,VERTCORP,BUFFER TANK 150 OF 224,Active,00:00.0,Regular,74,0,20500
25-347,VERTCORP,BUFFER TANK 224 OF 224,Active,00:00.0,Regular,74,0,20500
25-350,VERTCORP,EXP TANK SHIPMENT 3 (44),Active,00:00.0,Regular,0,0,72600
25-351,VERTCORP,EXP TANK SHIPMENT 4 (28),Active,00:00.0,Regular,0,0,46200
25-352,VERTCORP,EXP TANK SHIPMENT 5 (32),Active,00:00.0,Regular,0,0,52800
25-353,VERTCORP,EXP TANK SHIPMENT 6 (28),Active,00:00.0,Regular,0,0,46200
25-355,VERTCORP,EXP TANK SHIPMENT 8 (12),Active,00:00.0,Regular,0,0,19800
25-284,VERTCORP,BUFFER TANK 161 OF 224,Active,00:00.0,Regular,74,1,20500
25-285,VERTCORP,BUFFER TANK 162 OF 224,Active,00:00.0,Regular,74,1,20500
25-286,VERTCORP,BUFFER TANK 163 OF 224,Active,00:00.0,Regular,74,1,20500
25-287,VERTCORP,BUFFER TANK 164 OF 224,Active,00:00.0,Regular,74,1,20500
25-288,VERTCORP,BUFFER TANK 165 OF 224,Active,00:00.0,Regular,74,1,20500
25-289,VERTCORP,BUFFER TANK 166 OF 224,Active,00:00.0,Regular,74,1,20500
25-290,VERTCORP,BUFFER TANK 167 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-291,VERTCORP,BUFFER TANK 168 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-292,VERTCORP,BUFFER TANK 169 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-293,VERTCORP,BUFFER TANK 170 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-294,VERTCORP,BUFFER TANK 171 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-295,VERTCORP,BUFFER TANK 172 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-214,VERTCORP,BUFFER TANK 91 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-216,VERTCORP,BUFFER TANK 93 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-217,VERTCORP,BUFFER TANK 94 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-218,VERTCORP,BUFFER TANK 95 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-219,VERTCORP,BUFFER TANK 96 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-220,VERTCORP,BUFFER TANK 97 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-221,VERTCORP,BUFFER TANK 98 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-222,VERTCORP,BUFFER TANK 99 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-223,VERTCORP,BUFFER TANK 100 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-225,VERTCORP,BUFFER TANK 102 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-226,VERTCORP,BUFFER TANK 103 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-227,VERTCORP,BUFFER TANK 104 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-228,VERTCORP,BUFFER TANK 105 OF 224,Active,00:00.0,Regular,74,1,20500
25-229,VERTCORP,BUFFER TANK 106 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-230,VERTCORP,BUFFER TANK 107 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-231,VERTCORP,BUFFER TANK 108 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-232,VERTCORP,BUFFER TANK 109 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-233,VERTCORP,BUFFER TANK 110 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-234,VERTCORP,BUFFER TANK 111 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-236,VERTCORP,BUFFER TANK 113 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-237,VERTCORP,BUFFER TANK 114 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-238,VERTCORP,BUFFER TANK 115 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-239,VERTCORP,BUFFER TANK 116 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-240,VERTCORP,BUFFER TANK 117 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-241,VERTCORP,BUFFER TANK 118 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-242,VERTCORP,BUFFER TANK 119 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-224,VERTCORP,BUFFER TANK 101 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-235,VERTCORP,BUFFER TANK 112 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-215,VERTCORP,BUFFER TANK 92 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-296,VERTCORP,BUFFER TANK 173 OF 224,Active,00:00.0,Regular,74,1,20500
25-297,VERTCORP,BUFFER TANK 174 OF 224,Active,00:00.0,Regular,74,1,20500
25-298,VERTCORP,BUFFER TANK 175 OF 224,Active,00:00.0,Regular,74,1,20500
25-299,VERTCORP,BUFFER TANK 176 OF 224,Active,00:00.0,Regular,74,1,20500
25-300,VERTCORP,BUFFER TANK 177 OF 224,Active,00:00.0,Regular,74,1,20500
25-301,VERTCORP,BUFFER TANK 178 OF 224,Active,00:00.0,Regular,74,1,20500
25-302,VERTCORP,BUFFER TANK 179 OF 224,Active,00:00.0,Regular,74,1,20500
25-303,VERTCORP,BUFFER TANK 180 OF 224,Active,00:00.0,Regular,74,1,20500
25-304,VERTCORP,BUFFER TANK 181 OF 224,Active,00:00.0,Regular,74,1,20500
25-305,VERTCORP,BUFFER TANK 182 OF 224,Active,00:00.0,Regular,74,1,20500
25-306,VERTCORP,BUFFER TANK 183 OF 224,Active,00:00.0,Regular,74,1,20500
25-307,VERTCORP,BUFFER TANK 184 OF 224,Active,00:00.0,Regular,74,1,20500
25-122,KIMBCLAR,PROCESS TENSIDE TANK,Active,00:00.0,Regular,0,0,126500
25-120,ANDRITZI,DISSOLVING TANK (FABRICATION),Active,00:00.0,Regular,0,0,815000
25-119,VERTCORP,DWG ONLY-SMARTRUN BUFFER TANKS,Active,00:00.0,Regular,0,0,8000
25-118,MERRINDU,MH-5301-HP-05000-CASING,Active,00:00.0,Regular,679,578,125500
25-117,MERRINDU,MH-5301-HP-02000-CASING,Active,00:00.0,Regular,679,904,125500
25-116,POLYCOMP,MALEIC ANHYDRIDE TANK,Active,00:00.0,Regular,0,0,151500
25-102,EPICSYST,T-101,Active,00:00.0,Regular,0,0,71500
25-105,EPICSYST,T-105,Active,00:00.0,Regular,0,0,74000
25-103,EPICSYST,T-104,Active,00:00.0,Regular,0,0,77500
25-104,EPICSYST,T-103,Active,00:00.0,Regular,0,0,76500
25-114,EPICSYST,V-103,Active,00:00.0,Regular,0,0,0
25-110,EPICSYST,T-117,Active,00:00.0,Regular,146,33.25,57500
25-113,EPICSYST,T-120,Active,00:00.0,Regular,166,19.5,57750
25-111,EPICSYST,T-118A,Active,00:00.0,Regular,205,15,55250
25-109,EPICSYST,V-117,Active,00:00.0,Regular,56,7.25,26500
25-106,EPICSYST,T-121,Active,00:00.0,Regular,0,0,64500
25-107,EPICSYST,T-113,Active,00:00.0,Regular,0,0,47500
25-115,EPICSYST,V-104,Active,00:00.0,Regular,0,0,24750
25-112,EPICSYST,T-118B,Active,00:00.0,Regular,0,0,55250
25-108,EPICSYST,T-114,Active,00:00.0,Regular,0,0,25250
25-101,HARPLOVE,T-1615 RUPTURE DISK CATCH TANK,Active,00:00.0,Regular,560,300.5,357000
25-098,COASTECH,MIST ELIMINATOR W/FACE WASH,Active,00:00.0,Regular,108,0,71500
25-095,ANDRITZI,DISSOLVING TANK (DWG ONLY),Active,00:00.0,Regular,0,0,14000
25-093,AMERTERP,CARBON UNIT #2,Active,00:00.0,Regular,325,265.25,106000
25-092,AMERTERP,CARBON UNIT #1,Active,00:00.0,Regular,325,266.75,106000
25-091,USSUGARSV,API MANWAY,Active,00:00.0,Regular,14,9,5800
25-090,GAF11111,(2) SSI SKI PLATE,Active,00:00.0,Regular,0,0,1100
25-086,TELLPROD,SS FLANGE RING,Active,00:00.0,Regular,14,13.5,6075
25-084,ATLASMIN,SULFUR HOLDING TANK,Active,00:00.0,Regular,513,511.75,140500
25-082,TOMHENLEY,ROLLED PLATE,Active,00:00.0,Regular,11,9,2300
25-081,PROPIPE,"20"" ROLLED PIPE",Active,00:00.0,Regular,7,6,1800
25-070,RECOCOMM,BUFFER TANK #15,Active,00:00.0,Regular,476,375.75,102250
25-071,RECOCOMM,BUFFER TANK #16,Active,00:00.0,Regular,476,385.5,102250
25-055,AIRGASNITR,SST N20 REACTOR,Active,00:00.0,Regular,540,231,136000
25-053,ANDRITZI,VAPOR DUCTING 300122163,Active,00:00.0,Regular,120,175.5,82000
24-073,R2TCONSTRU,TAXES,Active,00:00.0,Regular,0,0,77824
25-051,USSUGARC,EXPLOSION VENT PANEL,Active,00:00.0,Regular,0,0,5700
25-050,THEINDUS,(8) GASKETS,Active,00:00.0,Regular,0,0,1500
25-049,YOWNBOIL,TANK PATCH REPAIR,Active,00:00.0,Regular,0,0,1250
25-048,USSUGARC,EXPLOSION VENT PANEL,Active,00:00.0,Regular,0,0,19950
25-047,APPLINDU,(2) VIBE PADS,Active,00:00.0,Regular,4,2,950
25-046,INDUSUPP,CHASE GASKET,Active,00:00.0,Regular,0,0,950
25-045,PROPIPE,NOZZLES AND AGITATOR SUPPORTS,Active,00:00.0,Regular,29,32.5,38525
25-043,ECOPOL,FEA & CYCLIC ANALYSIS,Active,00:00.0,Regular,0,0,1
25-042,ANDRITZI,FOUL CONDENSATE TANK,Active,00:00.0,Regular,85,87.5,20700
25-041,INDUSUPP,CHASE GASKET,Active,00:00.0,Regular,0,0,425
25-040,NAKKILNS,HR 120 SHELL,Active,00:00.0,Regular,234,365,1128000
25-038,AJAYNAMER,PE STAMP FOR JN 122-22,Active,00:00.0,Regular,0,0,3250
25-022,KIMBCLAR,EST SHIPPING 25-007/021;25-094 ,Active,00:00.0,Regular,0,0,235000
25-006,CONSDESI,USE OF SHOP INSULATION,Active,00:00.0,Regular,0,0,10000
25-001,USSUGARSV,"144"" FLAT BOTTOM",Active,00:00.0,Regular,12,7.5,6100
24-072,R2TCONSTRU,EXTENDED WARRANTY,Active,00:00.0,Regular,0,0,27630
24-071,R2TCONSTRU,TANGENTIAL NOZZLE CHARGES,Active,00:00.0,Regular,1,0,6800
24-061,INDUSUPP,(2) CHASE GASKETS,Active,00:00.0,Regular,0,0,950
24-059,LFMULTIC,ROLL HANDRAIL & ANGLE,Active,00:00.0,Regular,21,12,1650
24-058,FLOQENGI,(5) MANWAY GASKETS,Active,00:00.0,Regular,0,0,2590
24-057,HOLBROOK,FORM (2) CONES,Active,00:00.0,Regular,15,22,2800
24,NULL,NULL,Active,00:00.0,Regular,0,0,0
24-046,SYMSENGI,NMP STORAGE TANK (TK-F502R),Active,00:00.0,Regular,581,511.25,197500
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,00:00.0,Regular,177,196.75,42400
24-043,FLOQENGI,MANWAY HARDWARE TO CONVERT TO TOOL LESS,Active,00:00.0,Regular,0,0,1700
24-040,FIRSPLAC,CUT AND BEND PLATES,Active,00:00.0,Regular,1.5,1.5,316
24-039,ROSENBLAD,FORM ELBOWS,Active,00:00.0,Regular,10,31.5,1750
24-038,ROSENBLAD,Form (2) Cones per Customer Drawing,Active,00:00.0,Regular,12,17,2500
24-026,NANTRENE,Blast & Paint Interior of JNs 068 & 069-22,Active,00:00.0,Regular,0,0,34500
24-025,USSUGARC,EXPLOSION VENT PANEL,Active,00:00.0,Regular,0,0,2760
24-024,GARRMACH,310 SS CYLINDER,Active,00:00.0,Regular,45.55,50.5,20000
23-105,THEINDUS,SPARE GASKETS,Active,00:00.0,Regular,0,0,16000
23-104,TURNCONS,FINANCE/STORAGE FEE,Active,00:00.0,Regular,0,0,70425
24-020,KANGWON,ADDITIONAL REPAIRS TO 007-24,Active,00:00.0,Regular,0,0,14500
24-021,KANGWON,ADDITIONAL REPAIRS TO 008-24,Active,00:00.0,Regular,0,0,13500
24-001,LIOCHEM1,CHANGE ORDER TO 23-053 & 23-054,Active,00:00.0,Regular,0,0,22500
23-102,THEINDUS,EXTENDED WARRANTY,Active,00:00.0,Regular,0,0,23500
23-075,TURNCONS,V-3091 ANU WORKING TANK W/AGITATOR,Active,00:00.0,Regular,0,0,87500
23-076,TURNCONS,V-3101 ANU WORKING TANK W/AGITATOR,Active,00:00.0,Regular,0,0,87500
23-077,TURNCONS,V-3111 ANU WORKING TANK W/AGITATOR,Active,00:00.0,Regular,0,0,100050
23-078,TURNCONS,V-3121 ANU WORKING TANK W/AGITATOR,Active,00:00.0,Regular,0,0,87500
23-079,TURNCONS,V-3141 ANU WORKING TANK W/AGITATOR,Active,00:00.0,Regular,0,0,100050
23-080,TURNCONS,r-3401 OPACIFIER MIXING TANK,Active,00:00.0,Regular,0,0,46400
23-081,TURNCONS,4-3441 OPACIFIER DISTRIBUTION TANK,Active,00:00.0,Regular,0,0,75000
23-082,TURNCONS,R-3451 OPACIFIER DISTRIBUTION TANK,Active,00:00.0,Regular,0,0,75000
23-084,TURNCONS,V-5161 CIP COLLECTION TANK,Active,00:00.0,Regular,0,0,32250
23-085,TURNCONS,V-4641 ETHANOL COLLECTION TANK,Active,00:00.0,Regular,0,0,16050
23-086,TURNCONS,R-3271 CATALYST TANK,Active,00:00.0,Regular,0,0,48900
23-087,TURNCONS,R-3291 CATALYST TANK,Active,00:00.0,Regular,0,0,48150
23-088,TURNCONS,R-3581 CATALYST NEUTRALIZATION TANK,Active,00:00.0,Regular,0,0,54950
23-089,TURNCONS,V-5051 KNOCK OUT POT,Active,00:00.0,Regular,0,0,39750
23-090,TURNCONS,V-5261 KNOCK OUT POT,Active,00:00.0,Regular,0,0,38700
23-091,TURNCONS,V-5061 KNOCK OUT POT,Active,00:00.0,Regular,0,0,48300
23-092,TURNCONS,V-6002 KNOCK OUT POT,Active,00:00.0,Regular,0,0,37200
23-093,TURNCONS,SAMPLING VALVES,Active,00:00.0,Regular,0,0,18540
23-083,TURNCONS,V-5251 SEAL WATER COLLECTION TANK,Active,00:00.0,Regular,0,0,22200
23-072,SYMSENGI,CHANGE ORDER TO 067-23,Active,00:00.0,Regular,0,0,30000
23-066,ENCHEMAM,ADDITIONS-YT-1410 & YT-1420,Active,00:00.0,Regular,0,0,146000
23-056,FLOQENGI,"(4) 24"" GASKETS",Active,00:00.0,Regular,0,0,1900
23-049,ARCHWOOD,PLATFORM SYSTEM,Active,00:00.0,Regular,0,0,162500
23-050,ARCHWOOD,FREIGHT,Active,00:00.0,Regular,0,0,42300
23-043,ENCHEMAM,INSTALL (6) 100 M3 STORAGE TANKS,Active,00:00.0,Regular,0,0,0
23-042,ENCHEMAM,300 M3 SS API TANK (FIELD KIT),Active,00:00.0,Regular,661,648.5,208250
23-039,CONCRET,SPARE PARTS,Active,00:00.0,Regular,0,0,50
23-038,CORROCOAT,REPLACEMENT PARTS,Active,00:00.0,Regular,2,4,5175
23-025,LEARWEST,(4) ROLLED RINGS,Active,00:00.0,Regular,5,6,4700
23-022,SAVATANK,SAVANNAH TANK DEMO,Active,00:00.0,Regular,17,5,1
23-008,TURNCONS,V-1121 (S-40 DAY TANK),Active,00:00.0,Regular,0,0,50250
23-009,TURNCONS,V-1141 (S-40 DAY TANK),Active,00:00.0,Regular,0,0,50250
23-010,TURNCONS,V-1131 (MTES DAY TANK),Active,00:00.0,Regular,0,0,50250
23-011,TURNCONS,V-1151 (MTES DAY TANK),Active,00:00.0,Regular,0,0,50250
23-012,TURNCONS,V-1161 (DMDES DAY TANK),Active,00:00.0,Regular,0,0,46200
23-013,TURNCONS,AGING ETHANOL TANK V-3491,Active,00:00.0,Regular,0,0,190200
22-139,SABIGOLD,PE STAMPS,Active,00:00.0,Regular,0,0,4000
22-140,SABIGOLD,ESTIMATED SHIPPING,Active,00:00.0,Regular,0,0,72500
22-128,CYTECIND,CHANGE ORDER-PO 4504462122,Active,00:00.0,Regular,0,0,6500
22-123,SYMRISE,SS STORAGE TANK (#1406),Active,00:00.0,Regular,0,0,4600
22-121,FLOQENGI,(8) MANWAY HARDWARE,Active,00:00.0,Regular,0,0,4200
22-117,MILLIKEN,"2,000 GAL FEED TK (TAK-70) CO",Active,00:00.0,Regular,0,0,3750
22-087,PINOVAIN,"24"" API 650 ROOF MNWY CVR",Active,00:00.0,Regular,4,3,750
22-084,NANTRENE,(4) LADDERS,Active,00:00.0,Regular,0,0,10750
22-073,NANTRENE,SHIPPING,Active,00:00.0,Regular,0,0,0
22-072,NANTRENE,TANK ACCESSORIES,Active,00:00.0,Regular,0,0,46450
22-060,SOUTGEOR,USE OF R-STAMP,Active,00:00.0,Regular,0,0,5500
22-017,MILLIKEN,SS PROCESS TANK (TAT-17),Active,00:00.0,Regular,159,162.5,73150
22-013,ENCHEMAM,MECHANICAL INSTALLATION-TKS,Active,00:00.0,Regular,0,0,32000
22-014,ENCHEMAM,"FREIGHT TK-1005,1006,1007",Active,00:00.0,Regular,0,0,17750
21-158,USSUGARC,61100 GAL SYRUP TANK FIELD INS,Active,00:00.0,Regular,0,0,140000
21-156,CONCRET,"20,000 GAL SS ETHANOL STORAGE",Active,00:00.0,Regular,313,344.75,150000
21-127,NOAHINDU,HEAT TRANSFER CALCULATION,Active,00:00.0,Regular,0,0,750
21-125,PRYSMIAN,SS HORIZONTAL PRESSURE VESSEL,Active,00:00.0,Regular,283,370.25,126250
21-119,LEARWEST,128 CST BURNED PLATES,Active,00:00.0,Regular,8,9,6650
21-084,TELLPROD,"35,000 GAL SS STORAGE TANK",Active,00:00.0,Regular,306,351,103000
21-085,TELLPROD,"35,000 GAL SS STORAGE TANK",Active,00:00.0,Regular,306,336.25,103000
21-086,TELLPROD,"35,000 GAL SS STORAGE TANK",Active,00:00.0,Regular,306,335.5,103000
21-083,NOAHINDU,6' X 8' SS FEED TANK,Active,00:00.0,Regular,69,70,19500
